Date,mean_pred
2020-06-30,4.631666666666667
2020-07-01,4.5633333333333335
2020-07-02,4.416666666666667
2020-07-03,4.24625
2020-07-04,3.9808333333333334
2020-07-05,4.217083333333333
2020-07-06,4.095416666666667
2020-07-07,3.964583333333333
2020-07-08,3.8554166666666667
2020-07-09,3.8808333333333334
2020-07-10,3.8454166666666665
2020-07-11,3.7316666666666665
2020-07-12,3.7408333333333332
2020-07-13,3.6191666666666666
2020-07-14,3.10375
2020-07-15,3.5254166666666666
2020-07-16,3.375
2020-07-17,3.32
2020-07-18,3.1525
2020-07-19,2.8829166666666666
2020-07-20,2.4054166666666665
2020-07-21,2.51875
2020-07-22,3.0575
2020-07-23,2.78875
2020-07-24,2.8916666666666666
2020-07-25,2.765416666666667
2020-07-26,2.80125
2020-07-27,2.7820833333333335
2020-07-28,2.7445833333333334
2020-07-29,2.736666666666667
2020-07-30,2.73625
2020-07-31,2.64625
2020-08-01,2.6658333333333335
2020-08-02,2.5229166666666667
2020-08-03,2.591666666666667
2020-08-04,2.4470833333333335
2020-08-05,2.6458333333333335
2020-08-06,2.5720833333333335
2020-08-07,2.52625
2020-08-08,2.43875
2020-08-09,2.5708333333333333
2020-08-10,2.4920833333333334
2020-08-11,2.4995833333333333
2020-08-12,2.408333333333333
2020-08-14,2.580416666666667
2020-08-16,2.4879166666666666
2020-08-17,2.515
2020-08-18,2.45
2020-08-19,2.462083333333333
2020-08-22,2.395
2020-08-23,2.1691666666666665
2020-08-24,2.359583333333333
2020-08-25,2.203333333333333
2020-08-27,2.1758333333333333
2020-08-28,2.20125
2020-08-29,2.3958333333333335
2020-08-30,2.2925
2020-08-31,2.3220833333333335
2020-09-01,2.3725
2020-09-02,2.1754166666666666
2020-09-04,2.2258333333333336
2020-09-06,2.2420833333333334
2020-09-07,2.355
2020-09-08,2.1995833333333334
2020-09-09,2.2316666666666665
2020-09-10,2.28875
2020-09-12,2.2258333333333336
2020-09-13,2.23125
2020-09-14,2.22125
2020-09-15,2.1545833333333335
2020-09-16,2.2725
2020-09-17,2.1783333333333332
2020-09-18,2.10375
2020-09-21,2.5008333333333335
2020-09-23,2.3029166666666665
2020-09-24,2.2704166666666667
2020-09-25,2.2733333333333334
2020-09-29,2.2420833333333334
2020-09-30,2.319166666666667
2020-10-01,2.245833333333333
2020-10-02,2.3316666666666666
2020-10-05,2.265833333333333
2020-10-06,2.3625
2020-10-07,2.2370833333333335
2020-10-08,2.1954166666666666
2020-10-11,2.3295833333333333
2020-10-14,2.74875
2020-10-16,2.3866666666666667
2020-10-17,2.433333333333333
2020-10-19,2.3045833333333334
2020-10-21,2.3179166666666666
2020-10-22,2.4991666666666665
2020-10-24,2.470833333333333
2020-10-25,2.48
2020-10-28,2.5233333333333334
2020-10-29,2.3866666666666667
2020-10-30,2.5975
2020-11-02,2.5229166666666667
2020-11-04,2.495
2020-11-05,2.8295833333333333
2020-11-06,2.44125
2020-11-07,2.6345833333333335
2020-11-08,2.5791666666666666
2020-11-10,2.5125
2020-11-11,2.5395833333333333
2020-11-12,2.5595833333333333
2020-11-13,2.567083333333333
2020-11-14,2.609583333333333
2020-11-18,2.8254166666666665
2020-11-20,2.5816666666666666
2020-11-21,2.5820833333333333
2020-11-22,2.8916666666666666
2020-11-25,2.58375
2020-11-26,2.8983333333333334
2020-11-29,2.8620833333333335
2020-12-01,2.595
2020-12-02,2.595
2020-12-03,2.6645833333333333
2020-12-04,2.62375
2020-12-05,2.5825
2020-12-06,2.58625
2020-12-07,2.6879166666666667
2020-12-08,2.6575
2020-12-09,2.5116666666666667
2020-12-10,2.845833333333333
2020-12-11,2.67
2020-12-12,2.6225
2020-12-14,2.723333333333333
2020-12-16,2.89125
2020-12-17,2.7041666666666666
2020-12-18,2.776666666666667
2020-12-19,2.7595833333333335
2020-12-20,2.8808333333333334
2020-12-21,2.8875
2020-12-22,2.9079166666666665
2020-12-23,2.81125
2020-12-24,2.8420833333333335
2020-12-26,2.7216666666666667
2020-12-27,2.8525
2020-12-31,2.919583333333333
2021-01-02,2.8745833333333333
2021-01-03,2.932916666666667
2021-01-04,2.9133333333333336
2021-01-05,2.8333333333333335
2021-01-06,2.76625
2021-01-07,2.7391666666666667
2021-01-08,2.7183333333333333
2021-01-09,2.7645833333333334
2021-01-10,2.6483333333333334
2021-01-12,2.5954166666666665
2021-01-13,2.6804166666666664
2021-01-14,2.6525
2021-01-21,2.683333333333333
