Date,mean_pred
2020-06-30,328.12666666666667
2020-07-01,333.68416666666667
2020-07-02,343.0025
2020-07-03,351.37625
2020-07-04,363.9295833333333
2020-07-05,366.63166666666666
2020-07-06,363.71166666666664
2020-07-07,366.4220833333333
2020-07-08,357.9741666666667
2020-07-09,348.44416666666666
2020-07-10,352.9941666666667
2020-07-11,355.91083333333336
2020-07-12,364.71166666666664
2020-07-13,360.4558333333333
2020-07-14,362.67041666666665
2020-07-15,354.4970833333333
2020-07-16,353.6695833333333
2020-07-17,355.88125
2020-07-18,354.79083333333335
2020-07-19,350.1929166666667
2020-07-20,358.4379166666667
2020-07-21,359.01166666666666
2020-07-22,356.8179166666667
2020-07-23,364.905
2020-07-24,369.31916666666666
2020-07-25,375.96416666666664
2020-07-26,376.49041666666665
2020-07-27,382.16375
2020-07-28,383.7345833333333
2020-07-29,375.71791666666667
2020-07-30,356.09791666666666
2020-07-31,349.09625
2020-08-01,350.04791666666665
2020-08-02,346.325
2020-08-03,341.03458333333333
2020-08-04,329.42791666666665
2020-08-05,330.85875
2020-08-06,330.47875
2020-08-07,327.615
2020-08-08,324.0683333333333
2020-08-09,318.5395833333333
2020-08-10,314.8779166666667
2020-08-11,303.9175
2020-08-12,304.3725
2020-08-13,305.40708333333333
2020-08-14,312.04291666666666
2020-08-15,313.52125
2020-08-16,311.8095833333333
2020-08-17,302.28583333333336
2020-08-18,288.26458333333335
2020-08-19,280.04041666666666
2020-08-20,277.4245833333333
2020-08-21,278.4558333333333
2020-08-22,282.4475
2020-08-23,280.47125
2020-08-24,272.04041666666666
2020-08-25,262.66583333333335
2020-08-26,263.78458333333333
2020-08-27,268.9316666666667
2020-08-28,277.18375
2020-08-29,277.3283333333333
2020-08-30,280.40208333333334
2020-08-31,275.74
2020-09-01,262.83666666666664
2020-09-02,254.67875
2020-09-03,245.53125
2020-09-04,248.94333333333333
2020-09-05,248.66666666666666
2020-09-06,246.44916666666666
2020-09-07,239.31
2020-09-08,232.75083333333333
2020-09-09,227.41916666666665
2020-09-10,226.1825
2020-09-11,229.04083333333332
2020-09-12,228.70041666666665
2020-09-13,228.42458333333335
2020-09-14,221.74041666666668
2020-09-15,209.87291666666667
2020-09-16,200.19833333333332
2020-09-17,193.59958333333333
2020-09-18,193.20791666666668
2020-09-19,190.57625
2020-09-20,187.4175
2020-09-21,184.7125
2020-09-22,179.99416666666667
2020-09-23,182.075
2020-09-24,184.62333333333333
2020-09-25,184.33625
2020-09-26,187.4525
2020-09-27,191.13916666666665
2020-09-28,194.16083333333333
2020-09-29,192.51958333333334
2020-09-30,193.26166666666666
2020-10-01,199.4775
2020-10-02,207.09916666666666
2020-10-03,205.1475
2020-10-04,201.52916666666667
2020-10-05,194.41541666666666
2020-10-06,189.20166666666665
2020-10-07,181.83458333333334
2020-10-08,177.62166666666667
2020-10-09,173.60416666666666
2020-10-10,167.705
2020-10-11,162.14
2020-10-12,152.24166666666667
2020-10-13,147.54083333333332
2020-10-14,139.96708333333333
2020-10-15,136.30041666666668
2020-10-16,133.40583333333333
2020-10-17,131.07458333333332
2020-10-18,130.83458333333334
2020-10-19,132.97625
2020-10-20,130.48166666666665
2020-10-21,128.84541666666667
2020-10-22,126.4725
2020-10-23,128.32916666666668
2020-10-24,124.52708333333334
2020-10-25,123.52791666666667
2020-10-26,122.85291666666667
2020-10-27,121.86708333333333
2020-10-28,121.56291666666667
2020-10-29,121.4825
2020-10-30,121.38166666666666
2020-10-31,119.94833333333334
2020-11-01,119.60958333333333
2020-11-02,116.1425
2020-11-03,112.98208333333334
2020-11-04,112.52333333333333
2020-11-05,113.05541666666667
2020-11-06,114.7075
2020-11-07,114.90666666666667
2020-11-08,112.65875
2020-11-09,114.59333333333333
2020-11-10,116.66958333333334
2020-11-11,119.49125
2020-11-12,121.00041666666667
2020-11-13,122.5975
2020-11-14,122.2825
2020-11-15,124.64458333333333
2020-11-16,128.00208333333333
2020-11-17,127.20416666666667
2020-11-18,128.135
2020-11-19,135.14625
2020-11-20,138.81708333333333
2020-11-21,142.51958333333334
2020-11-22,147.50791666666666
2020-11-23,149.81291666666667
2020-11-24,157.37041666666667
2020-11-25,159.4375
2020-11-26,166.95166666666665
2020-11-27,174.59708333333333
2020-11-28,182.73833333333334
2020-11-29,190.61125
2020-11-30,196.35916666666665
2020-12-01,196.46458333333334
2020-12-02,196.7975
2020-12-03,197.1975
2020-12-04,200.40791666666667
2020-12-05,205.36
2020-12-06,203.04833333333335
2020-12-07,208.19958333333332
2020-12-08,208.07416666666666
2020-12-09,210.10708333333332
2020-12-10,216.61708333333334
2020-12-11,223.2125
2020-12-12,232.73583333333335
2020-12-13,244.45041666666665
2020-12-14,251.97166666666666
2020-12-15,258.5995833333333
2020-12-16,269.41791666666666
2020-12-17,285.56
2020-12-18,300.04
2020-12-19,306.2975
2020-12-20,301.65416666666664
2020-12-21,292.2345833333333
2020-12-22,283.08958333333334
2020-12-23,287.9295833333333
2020-12-24,283.35083333333336
2020-12-25,281.15625
2020-12-26,279.4579166666667
2020-12-27,274.15125
2020-12-28,258.6425
2020-12-29,254.32041666666666
2020-12-30,255.25166666666667
2020-12-31,257.40791666666667
2021-01-01,256.69416666666666
2021-01-02,254.58458333333334
2021-01-03,251.8425
2021-01-04,245.13083333333333
2021-01-05,241.21875
2021-01-06,243.94458333333333
2021-01-07,249.28916666666666
2021-01-08,256.39166666666665
2021-01-09,261.03208333333333
2021-01-10,268.17583333333334
2021-01-11,269.21875
2021-01-12,265.98041666666666
2021-01-13,270.68833333333333
